ticker,date,time,headline,price
RELIANCE,2024-10-15,10:00,Reliance Industries announces plans for renewable energy projects.,2718.60009765625
RELIANCE,2024-10-16,11:30,Reliance Retail sees record sales during the festive season.,4123.0498046875
RELIANCE,2024-10-17,09:45,Reliance Jio expands its fiber broadband services across India.,
RELIANCE,2024-10-18,14:20,Reliance Industries to invest $10 billion in green energy.,1879.5999755859375
RELIANCE,2024-10-19,13:15,"Reliance reports strong quarterly earnings, surpassing analyst expectations.",2717.10009765625
RELIANCE,2024-10-20,12:30,Reliance partners with global firms for technological innovations.,486.70001220703125
RELIANCE,2024-10-21,10:50,Reliance Industries faces regulatory scrutiny over data privacy issues.,820.4000244140625
RELIANCE,2024-10-22,09:00,Reliance announces the launch of a new e-commerce platform.,1707.8499755859375
RELIANCE,2024-10-23,16:10,Reliance Industries plans to double its retail footprint in the next five years.,910.1500244140625
RELIANCE,2024-10-24,15:45,Reliance Jio to introduce 5G services in major cities by the end of the year.,1264.5
TCS,2024-10-15,10:00,TCS recognized as a leader in IT services by Gartner.,
TCS,2024-10-16,11:30,TCS reports robust growth in digital transformation projects.,
TCS,2024-10-17,09:45,TCS partners with educational institutions for AI research.,
TCS,2024-10-18,14:20,TCS wins major contracts from global companies for IT solutions.,
TCS,2024-10-19,13:15,TCS invests in training programs for employees in emerging technologies.,
TCS,2024-10-20,12:30,TCS announces new initiatives for sustainability in operations.,
TCS,2024-10-21,10:50,TCS expands its presence in Europe with new offices.,
TCS,2024-10-22,09:00,"TCS reports strong quarterly earnings, driven by cloud services.",
TCS,2024-10-23,16:10,TCS launches new customer engagement solutions for businesses.,
TCS,2024-10-24,15:45,TCS’s stock climbs after positive quarterly results are announced.,
HDFC,2024-10-15,10:00,HDFC Bank launches new home loan products with attractive rates.,
HDFC,2024-10-16,11:30,HDFC posts record profits amid increasing demand for loans.,
HDFC,2024-10-17,09:45,HDFC Bank enhances digital banking services for customers.,
HDFC,2024-10-18,14:20,HDFC reports significant growth in retail banking operations.,
HDFC,2024-10-19,13:15,HDFC Bank collaborates with fintech startups for innovative solutions.,
HDFC,2024-10-20,12:30,HDFC Bank’s asset quality improves as NPAs decline.,
HDFC,2024-10-21,10:50,HDFC announces plans to expand its branch network across India.,
HDFC,2024-10-22,09:00,HDFC Bank recognized as the most customer-friendly bank in India.,
HDFC,2024-10-23,16:10,HDFC’s insurance arm sees growth in premium collections.,
HDFC,2024-10-24,15:45,HDFC Bank to invest in technology to improve customer experience.,
INFY,2024-10-15,10:00,Infosys expands its AI services portfolio with new offerings.,
INFY,2024-10-16,11:30,"Infosys reports strong quarterly results, beating market estimates.",
INFY,2024-10-17,09:45,Infosys partners with leading universities for research and development.,
INFY,2024-10-18,14:20,Infosys invests in upskilling its workforce for future technologies.,
INFY,2024-10-19,13:15,Infosys launches a new platform for financial services.,
INFY,2024-10-20,12:30,Infosys recognized for its commitment to sustainability and CSR.,
INFY,2024-10-21,10:50,Infosys’s stock rises following positive earnings announcement.,
INFY,2024-10-22,09:00,Infosys explores opportunities in the metaverse for client projects.,
INFY,2024-10-23,16:10,Infosys wins major contracts from healthcare organizations.,
INFY,2024-10-24,15:45,Infosys focuses on improving operational efficiency and cost management.,
HINDUNILVR,2024-10-15,10:00,Hindustan Unilever introduces new products in the health and wellness segment.,
HINDUNILVR,2024-10-16,11:30,HUL reports strong sales growth driven by premium products.,
HINDUNILVR,2024-10-17,09:45,HUL enhances sustainability initiatives in packaging.,
HINDUNILVR,2024-10-18,14:20,Hindustan Unilever focuses on expanding its rural distribution network.,
HINDUNILVR,2024-10-19,13:15,HUL's stock sees a rise after positive quarterly results.,
HINDUNILVR,2024-10-20,12:30,HUL partners with local farmers for sustainable sourcing.,
HINDUNILVR,2024-10-21,10:50,HUL expands its beauty and personal care product lines.,
HINDUNILVR,2024-10-22,09:00,Hindustan Unilever recognized for its commitment to diversity and inclusion.,
HINDUNILVR,2024-10-23,16:10,HUL invests in digital marketing strategies to reach younger consumers.,
HINDUNILVR,2024-10-24,15:45,HUL launches a new advertising campaign for its flagship products.,
ITC,2024-10-15,10:00,ITC’s FMCG segment shows strong growth amid rising demand.,
